Site,Seq,Structure Designation,cycle,Inspection year,Last Inspection,Highway,Year Built,type-full,Type,Feature Intersect,UTM_X,UTM_Y
1470,10,PR Str. ,4,2018,2016,408,2003,,ACROW,Whitemouth River,714356.395,5541848.48
3718,10,PR Str. ,4,2018,2014,710,2008,,ACROW,English Brook,697366.01,5669823.492
3735,10,PR Str. ,4,2018,2014,710,2008,,ACROW,Steeprock Creek,688200.289,5681075.49
4228,10,PR Str. ,4,2018,2016,287,2012,,ACROW,Cormorant Lake Narrows,395330.798,6009300.471
4444,10,PR Str. ,4,2018,2016,760,2007,,ACROW,Mistik Creek,338361.898,6062597.939
4491,00,Winter Road Str. ,4,2018,2014,790,2013,,ACROW,Mainland River,733866.741,5962964.235
4492,00,Winter Road Str. ,4,2018,2014,790,2013,,ACROW,Feather Rapids,693151.985,5969817.935
4493,00,Winter Road Str. ,4,2018,2014,700,2012,,ACROW,Red Sucker River,850412.821,6019642.12
4494,00,Winter Road Str. ,4,2018,2014,727,2013,,ACROW,Panko Narrows,796137.21,6017498.871
4503,10,Winter Road Str. ,4,2018,N/A,725,2015,,ACROW,Hayes River,704432.731,6066877.772
4504,10,Winter Road Str. ,4,2018,N/A,725,2015,,ACROW,Laidlaw River,734173.543,6079298.404
4607,00,Winter Road Str. ,4,2018,2014,780,2004,,ACROW,Cochrane River,354913.888,6429454.301
4608,00,Winter Road Str. ,4,2018,2014,725,2004,,ACROW,Echimamish River,664137.453,6041392.389
4625,00,Winter Road Str. ,4,2018,2014,735,2005,,ACROW,Gods River,814625.073,6091320.153
4626,00,Winter Road Str. ,4,2018,2014,727,2007,,ACROW,Gods Lake Narrows,792237.819,6054994.479
9000,00,PR Str. ,4,2018,2016,WR,1989,,ACROW,Grass River,581532.102,6161473.305
60,04,Access/Service/Etc. ,4,2018,2014,101,1964,Aquaduct,AQ,GWWD Aqueduct,646668.754,5524389.302
60,02,Access/Service/Etc. ,4,2018,2014,101,1964,Aquaduct,AQ,GWWD Aqueduct,646703.727,5524380.719
60,01,Access/Service/Etc. ,4,2018,2014,101,1964,Aquaduct,AQ,GWWD Aqueduct,646733.119,5524371.488
1665,00,Access/Service/Etc. ,4,2018,2014,302,2000,Aquaduct,AQ,GWWD Aqueduct,681347.195,5519747.404
2239,00,Access/Service/Etc. ,4,2021,2017,206,1982,Aquaduct,AQ,GWWD Aqueduct,655011.961,5523988.647
2675,01,Access/Service/Etc. ,4,2021,2017,001,1953,Aquaduct,AQ,GWWD Aqueduct,728084.819,5504525.325
2968,00,Access/Service/Etc. ,4,2018,2014,012,1958,Aquaduct,AQ,GWWD Aqueduct,669843.931,5523486.958
3926,02,Access/Service/Etc. ,4,2021,2017,001,1974,Aquaduct,AQ,GWWD Aqueduct,728307.927,5504444.91
4069,00,Access/Service/Etc. ,4,2018,2014,011,1974,Aquaduct,AQ,GWWD Aqueduct,723134.02,5507365.999
619,10,PR Str. ,4,2021,2017,304,1991,Pre-cast pre-stressed box girder bridge,B,Main Drain No. 1,689522.25,5593115.136
2959,00,"PTH, PR Str. ",2,2018,2016,100,1959,Pre-cast pre-stressed box girder bridge,B,"CNR - Overhead, Wilkes Ave.",620483.886,5522083.011
1337,10,PR Str. ,4,2021,2017,638,1990,Pre-cast pre-stressed box girder bridge,B,Killarney Lake,451067.953,5447341.171
3053,00,"PTH, PR Str. ",2,2019,2017,345,1959,Pre-cast pre-stressed box girder bridge,B,Souris River,372334.298,5473358.843
1554,10,PR Str. ,4,2019,N/A,312,2017,Pre-cast pre-stressed box girder bridge,B,Whiteshell River,775341.504,5523398.008
